Brazil,Croatia,1.28,5.23,10.39
Mexico,Cameroon,2.07,3.17,3.69
Spain,Netherlands,1.96,3.28,3.90
Chile,Australia,1.47,3.99,7.13
Colombia,Greece,1.66,3.47,5.52
Uruguay,Costa Rica,1.33,4.67,9.59
England,Italy,3.00,3.02,2.45
Ivory Coast,Japan,2.51,3.09,2.86
Switzerland,Ecuador,2.26,3.09,3.26
France,Honduras,1.27,5.13,11.77
Argentina,Bosnia & Herzegovina,1.38,4.46,8.03
Germany,Portugal,1.86,3.37,4.21
Iran,Nigeria,4.07,3.21,1.94
Ghana,USA,2.48,3.12,2.89
Belgium,Algeria,1.37,4.45,8.65
Brazil,Mexico,1.31,4.97,9.43
Russia,South Korea,1.98,3.22,3.89
Australia,Netherlands,9.32,4.99,1.31
Spain,Chile,1.70,3.52,4.99
Cameroon,Croatia,3.92,3.25,1.96
Colombia,Ivory Coast,1.93,3.31,3.94
Uruguay,England,2.41,3.22,2.85
Japan,Greece,2.42,3.22,2.86
Italy,Costa Rica,1.31,4.81,9.69
Switzerland,France,3.68,3.25,2.02
Honduras,Ecuador,5.03,3.55,1.68
Argentina,Iran,1.16,6.74,16.47
Germany,Ghana,1.38,4.53,7.79
Nigeria,Bosnia & Herzegovina,2.88,3.22,2.40
Belgium,Russia,2.10,3.24,3.45
South Korea,Algeria,1.99,3.23,3.82
USA,Portugal,5.17,3.60,1.66
Australia,Spain,12.95,6.08,1.20
Netherlands,Chile,2.24,3.31,3.06
Cameroon,Brazil,14.58,6.05,1.19
Croatia,Mexico,2.38,3.32,2.83
Costa Rica,England,7.07,4.20,1.44
Italy,Uruguay,2.35,3.22,2.97
Greece,Ivory Coast,2.97,3.27,2.31
Japan,Colombia,4.49,3.48,1.78
Bosnia & Herzegovina,Iran,1.53,3.84,6.31
Nigeria,Argentina,8.34,4.65,1.35
Ecuador,France,3.76,3.41,1.94
Honduras,Switzerland,6.24,3.74,1.55
Portugal,Ghana,1.82,3.44,4.27
USA,Germany,7.73,4.41,1.39
Algeria,Russia,6.10,3.72,1.56
South Korea,Belgium,4.86,3.56,1.69
