Bulgaria,Georgia,6,2,1.44,4.07,7.37
Ireland,Montenegro,0,0,1.58,3.55,6.09
Italy,Cyprus,3,2,1.28,5.14,9.85
France,Austria,3,1,1.32,4.69,9.48
Lithuania,Serbia,2,1,3.43,3.28,2.07
Romania,FaroeIslands,3,1,1.06,9.74,27.03
Andorra,Ukraine,0,6,52.96,15.52,1.01
England,Belarus,3,0,1.14,6.86,16.46
Kazakhstan,Croatia,1,2,8.39,4.85,1.33
Bosnia&Herzegovina,Spain,2,5,3.36,3.33,2.08
Estonia,Belgium,2,0,4.10,3.38,1.85
Turkey,Armenia,2,0,1.23,5.58,11.35
Azerbaijan,Russia,1,1,8.19,4.76,1.33
Germany,Finland,1,1,1.29,5.02,9.79
Liechtenstein,Wales,0,2,5.66,3.72,1.58
CzechRepublic,NorthernIreland,0,0,1.33,4.70,8.74
Poland,Slovakia,0,1,3.01,3.38,2.22
SanMarino,Slovenia,0,3,47.06,14.16,1.01
Greece,Luxembourg,2,1,1.02,12.93,40.43
Latvia,Moldova,3,2,1.46,3.94,7.11
Switzerland,Israel,0,0,1.72,3.38,4.95
Denmark,Hungary,0,1,1.50,3.83,6.55
Portugal,Malta,4,0,1.01,15.76,55.15
Sweden,Albania,4,1,1.20,5.90,12.62
Cyprus,Bulgaria,4,1,4.01,3.34,1.89
Ireland,Italy,2,2,3.51,2.68,2.39
Montenegro,Georgia,2,1,1.63,3.59,5.30
Austria,Lithuania,2,1,1.64,3.62,5.16
France,FaroeIslands,5,0,1.01,13.81,50.57
Serbia,Romania,5,0,1.60,3.64,5.75
Belarus,Kazakhstan,4,0,1.29,5.00,9.38
Ukraine,England,1,0,3.05,3.40,2.24
Armenia,Spain,1,2,16.07,6.54,1.15
Belgium,Turkey,2,0,3.11,3.31,2.21
Estonia,Bosnia&Herzegovina,0,2,7.39,4.10,1.42
Finland,Wales,2,1,1.87,3.33,4.17
Liechtenstein,Azerbaijan,0,2,2.60,3.15,2.65
Russia,Germany,0,1,2.36,3.23,2.90
CzechRepublic,Poland,2,0,1.50,3.94,6.38
Slovakia,Slovenia,0,2,2.16,2.49,4.57
Greece,Latvia,5,2,1.36,4.52,8.10
Israel,Moldova,3,1,1.18,6.41,13.19
Luxembourg,Switzerland,0,3,20.12,8.15,1.10
Denmark,Sweden,1,0,2.40,3.20,2.91
Portugal,Hungary,3,0,1.15,6.94,15.55
Norway,FYRMacedonia,2,1,1.51,3.88,6.44
Scotland,Netherlands,0,1,4.20,3.30,1.88
Italy,Bulgaria,2,0,1.39,4.23,8.36
Montenegro,Cyprus,1,1,1.57,3.81,5.53
FaroeIslands,Lithuania,2,1,7.67,4.26,1.40
Romania,Austria,1,1,1.48,4.00,6.66
Serbia,France,1,1,3.14,3.18,2.26
Andorra,Kazakhstan,1,3,7.13,3.95,1.46
Belarus,Ukraine,0,0,4.29,3.48,1.80
England,Croatia,5,1,1.58,3.63,6.09
Armenia,Belgium,2,1,4.66,3.42,1.75
Bosnia&Herzegovina,Turkey,1,1,2.68,3.29,2.49
Spain,Estonia,3,0,1.04,12.00,36.94
Germany,Azerbaijan,4,0,1.01,15.45,49.46
Liechtenstein,Finland,1,1,9.49,4.59,1.33
Wales,Russia,1,3,6.19,3.78,1.54
CzechRepublic,SanMarino,7,0,1.01,14.72,51.32
NorthernIreland,Slovakia,0,2,2.42,3.20,2.86
Slovenia,Poland,3,0,2.53,3.24,2.68
Israel,Luxembourg,7,0,1.10,8.28,21.16
Latvia,Switzerland,2,2,3.88,3.36,1.91
Moldova,Greece,1,1,8.33,4.23,1.39
Albania,Denmark,1,1,5.71,3.67,1.59
Hungary,Portugal,0,1,6.99,3.92,1.47
Malta,Sweden,0,1,24.51,8.79,1.08
Iceland,Norway,1,1,4.71,3.46,1.74
Scotland,FYRMacedonia,2,0,1.73,3.46,4.86
Bulgaria,Montenegro,4,1,1.58,3.61,5.92
Cyprus,Ireland,1,2,3.74,3.33,1.97
Georgia,Italy,0,2,9.53,4.54,1.32
Austria,FaroeIslands,3,1,1.12,7.39,18.75
France,Romania,1,1,1.42,4.03,8.24
Croatia,Belarus,1,0,1.22,5.88,12.65
Ukraine,Andorra,5,0,1.01,15.50,51.24
Armenia,Bosnia&Herzegovina,0,2,6.76,3.87,1.49
Spain,Belgium,5,0,1.17,6.62,16.24
Turkey,Estonia,4,2,1.14,6.88,16.82
Azerbaijan,Finland,1,2,4.71,3.46,1.74
Russia,Liechtenstein,3,0,1.01,14.77,47.46
Poland,NorthernIreland,1,1,1.51,3.79,6.79
Slovakia,CzechRepublic,2,2,2.71,3.19,2.54
Israel,Latvia,0,1,1.47,3.96,6.92
Moldova,Luxembourg,0,0,1.37,4.42,8.36
Switzerland,Greece,2,0,2.13,3.14,3.47
Denmark,Portugal,1,1,3.37,3.28,2.11
Hungary,Sweden,1,2,3.21,3.24,2.20
Norway,Scotland,4,0,1.94,3.32,3.80
FaroeIslands,France,0,1,49.92,12.56,1.02
Belarus,Croatia,1,3,4.62,3.44,1.73
Azerbaijan,Germany,0,2,24.29,7.99,1.09
Slovenia,SanMarino,5,0,1.02,13.73,48.55
FYRMacedonia,Iceland,2,0,1.72,3.47,4.76
Netherlands,Norway,2,0,1.38,4.37,8.02
FaroeIslands,Serbia,0,2,20.25,8.09,1.09
England,Andorra,6,0,1.01,17.96,64.90
Ukraine,Kazakhstan,2,1,1.10,8.48,23.09
Finland,Russia,0,3,4.41,3.32,1.81
Sweden,Malta,4,0,1.03,14.76,38.96
FYRMacedonia,Norway,0,0,2.99,3.26,2.31
Iceland,Netherlands,1,2,8.94,4.41,1.34
Bulgaria,Ireland,1,1,2.03,3.18,3.65
Cyprus,Montenegro,2,2,2.37,3.18,2.90
Lithuania,Romania,0,1,3.13,3.26,2.21
Serbia,Austria,1,0,1.34,4.52,9.08
Belarus,Andorra,5,1,1.04,10.95,33.42
Croatia,Ukraine,2,2,1.69,3.40,5.16
Kazakhstan,England,0,4,19.30,7.14,1.13
Azerbaijan,Wales,0,1,3.17,3.17,2.23
Finland,Liechtenstein,2,1,1.08,8.89,23.25
Slovakia,SanMarino,7,0,1.01,14.63,45.63
Albania,Portugal,1,2,9.28,4.42,1.35
Sweden,Denmark,0,1,2.00,3.23,3.73
Netherlands,FYRMacedonia,4,0,1.15,6.73,16.94
Scotland,Iceland,2,1,1.57,3.63,6.07
Bulgaria,Cyprus,2,0,1.42,4.04,7.86
Georgia,Montenegro,0,0,2.47,3.19,2.74
Italy,Ireland,1,1,1.44,3.91,8.22
Austria,Romania,2,1,3.01,3.21,2.27
France,Lithuania,1,0,1.18,6.13,15.42
Andorra,Croatia,0,2,44.30,13.23,1.02
England,Ukraine,2,1,1.39,4.19,8.59
Kazakhstan,Belarus,1,5,3.25,3.23,2.12
Bosnia&Herzegovina,Belgium,2,1,2.05,3.29,3.45
Estonia,Armenia,1,0,2.01,3.24,3.57
Turkey,Spain,1,2,3.54,3.18,2.07
Liechtenstein,Russia,0,1,33.85,10.76,1.04
Wales,Germany,0,2,7.52,4.03,1.44
CzechRepublic,Slovakia,1,2,1.52,3.71,6.86
NorthernIreland,Slovenia,1,0,2.22,3.18,3.16
Poland,SanMarino,10,0,1.01,14.01,56.61
Greece,Israel,2,1,1.73,3.38,4.92
Latvia,Luxembourg,2,0,1.17,6.17,15.12
Switzerland,Moldova,2,0,1.14,6.96,16.80
Denmark,Albania,3,0,1.23,5.49,12.09
Hungary,Malta,3,0,1.12,7.39,18.80
Netherlands,Scotland,3,0,1.29,4.75,10.87
Cyprus,Georgia,2,1,1.92,3.27,3.84
Ireland,Bulgaria,1,1,1.86,3.25,4.35
Montenegro,Italy,0,2,5.46,3.44,1.65
Lithuania,France,0,1,5.99,3.58,1.57
Romania,Serbia,2,3,2.19,3.16,3.28
Armenia,Estonia,2,2,2.01,3.23,3.61
Belgium,Bosnia&Herzegovina,2,4,1.70,3.49,4.78
Spain,Turkey,1,0,1.35,4.40,8.69
Germany,Liechtenstein,4,0,1.01,14.48,53.48
Russia,Azerbaijan,2,0,1.07,9.38,27.63
Wales,Finland,0,2,2.15,3.22,3.35
NorthernIreland,Poland,3,2,3.37,3.17,2.16
Slovenia,CzechRepublic,0,0,3.65,3.20,2.03
Israel,Greece,1,1,2.41,3.08,2.94
Luxembourg,Latvia,0,4,4.68,3.41,1.74
Moldova,Switzerland,0,2,6.18,3.71,1.53
Albania,Hungary,0,1,2.52,3.17,2.68
Malta,Denmark,0,3,16.87,6.62,1.14
Portugal,Sweden,0,0,1.59,3.55,5.90
Ireland,Georgia,2,1,1.34,4.39,8.85
SanMarino,NorthernIreland,0,3,20.13,7.56,1.10
Malta,Albania,0,0,5.92,3.56,1.56
SanMarino,CzechRepublic,0,3,49.23,12.93,1.02
Iceland,FYRMacedonia,1,0,2.48,3.18,2.73
Norway,Netherlands,0,1,3.87,3.19,1.98
Georgia,Bulgaria,0,0,4.80,3.36,1.73
Ireland,Cyprus,1,0,1.38,4.26,8.27
Italy,Montenegro,2,1,1.18,6.09,13.57
Austria,Serbia,1,3,2.82,3.17,2.43
Lithuania,FaroeIslands,1,0,1.13,6.88,16.29
Belarus,England,1,3,8.48,4.26,1.38
Croatia,Andorra,4,0,1.01,14.72,55.51
Belgium,Spain,1,2,5.15,3.49,1.66
Bosnia&Herzegovina,Armenia,4,1,1.36,4.32,8.57
Estonia,Turkey,0,0,7.59,4.02,1.42
Germany,Wales,1,0,1.16,6.47,14.76
Russia,Finland,3,0,1.31,4.61,9.41
CzechRepublic,Slovenia,1,0,1.38,4.24,8.30
NorthernIreland,SanMarino,4,0,1.05,10.40,29.85
Slovakia,Poland,2,1,2.51,3.20,2.68
Greece,Switzerland,1,2,1.79,3.30,4.49
Latvia,Israel,1,1,3.55,3.19,2.05
Luxembourg,Moldova,0,0,4.10,3.30,1.86
Malta,Hungary,0,1,8.20,4.35,1.36
Portugal,Albania,0,0,1.10,7.80,20.66
Netherlands,Iceland,2,0,1.13,6.70,16.63
Scotland,Norway,0,0,2.22,3.16,3.23
Bulgaria,Italy,0,0,3.54,3.07,2.13
Georgia,Cyprus,1,1,2.06,3.24,3.41
FaroeIslands,Austria,1,1,12.07,6.00,1.19
Romania,France,2,2,2.98,3.13,2.32
Serbia,Lithuania,3,0,1.54,3.65,6.12
England,Kazakhstan,5,1,1.05,10.34,35.03
Ukraine,Croatia,0,0,2.47,3.12,2.77
Belgium,Armenia,2,0,1.22,5.36,11.87
Estonia,Spain,0,3,14.77,6.18,1.16
Turkey,Bosnia&Herzegovina,2,1,1.45,3.92,7.04
Finland,Azerbaijan,1,0,1.24,5.26,11.41
Germany,Russia,2,1,1.72,3.41,4.69
Wales,Liechtenstein,2,0,1.13,6.92,17.19
Poland,CzechRepublic,2,1,2.66,3.12,2.57
SanMarino,Slovakia,1,3,30.50,9.47,1.05
Slovenia,NorthernIreland,2,0,1.91,3.30,3.97
Greece,Moldova,3,0,1.18,5.97,13.70
Luxembourg,Israel,1,3,10.98,5.28,1.24
Switzerland,Latvia,2,1,1.49,3.82,6.74
Denmark,Malta,3,0,1.05,10.22,30.34
Hungary,Albania,2,0,1.63,3.50,5.21
Sweden,Portugal,0,0,3.07,3.14,2.28
FYRMacedonia,Netherlands,1,2,6.50,3.74,1.51
Iceland,Scotland,1,2,3.06,3.18,2.31
Italy,Georgia,2,0,1.11,7.21,21.19
Montenegro,Ireland,0,0,3.18,3.17,2.27
FaroeIslands,Romania,0,1,25.96,9.25,1.06
France,Serbia,2,1,1.54,3.62,6.23
Lithuania,Austria,2,0,2.49,3.18,2.71
Andorra,Belarus,1,3,14.12,5.93,1.18
Croatia,England,1,4,2.79,3.10,2.86
Kazakhstan,Ukraine,1,3,6.38,3.70,1.52
Bosnia&Herzegovina,Estonia,7,0,1.55,3.61,6.03
Spain,Armenia,4,0,1.06,9.02,30.05
Turkey,Belgium,1,1,1.62,3.59,5.81
Azerbaijan,Liechtenstein,0,0,1.47,3.84,7.08
Finland,Germany,3,3,6.49,3.67,1.52
Russia,Wales,2,1,1.28,4.81,11.15
NorthernIreland,CzechRepublic,0,0,4.33,3.27,1.83
SanMarino,Poland,0,2,48.19,13.05,1.02
Slovenia,Slovakia,2,1,2.48,3.15,2.72
Latvia,Greece,0,2,4.68,3.36,1.89
